address,amount,staking
0xdE54139d9592128EE73B5F8f72e8d0A8DCAA5191,5, 0
0x7990bD07f6AFA5004bb1ea3e09e4DBEA32a76cda,10, 0
0x9C053Cda1fe2a8A44149319954B17203383Ea9F0,51, 0
0x1FDA16d5111f639D20ac78b31742b152729b421F,28, 0
0xc3E2Fca92fb40f53A4a92994CB9cbA6e33EE0148,99, 0
0xf71c90eF0314fE4DB2B2eE1921294dF6273769F8,20, 170000000000000000000000
0xd94DBE4cb4c924B997aD244Af2Ea458B371E1997,3, 0
0x75F5ECFDef355670F110D56A29eAb4CCaEBb6a4d,6, 0
0x095d2C4D5C9412a647EBC52Afc10ab021aE51Aa3,1, 0
0x70F6B77D6B75A5e64551760E069cB5FbD1A634Bd,9, 0
0x119A468dea5FA18E676587a6cF8E0Cb4898cBAb9,10, 0
0xF4b0d517f671A01dc90dFBA3c4402B117b0A7ADd,2, 0
0xebCA732d7d2a09Ab8A2D1E9AF10da88f70c15a09,2, 0
0x6C706335e2AE648B084985E14ad5Fb2A11005168,33, 0
0x9d06a4934772ec9F8019e4849D4F98fe0836deE4,47, 0
0x3E61DFfa0bC323Eaa16F4C982F96FEB89ab89E8a,3, 0
0x3b0bBa8DFC29e303d609B89827508029632451e1,7, 0
0x596Ac523A2F887D44BA69d3144A17b7def627aF8,16, 0
0x3D8De07Bbb9f997Bc418090EaaD892Ea9a5374C1,3, 0
0x96c4c9CD98eB02ba00F2731e4ffB965Fa2A41923,2000, 0
0x16c5100CF9543C62f0f4943e434442790bC82783,2, 0
0xB82d5544Eb467Cf2FbbcC3882b0a4847B5fBc8e9,78, 0
0xaeAf014cF88Edc5d666077D7c017D19A44F74505,15, 0
0x2dB391D6449AcE0f6008B587321A1CFd9C7b2879,622, 0
0xff12faF1b14b3Bd54268f9D23D243F36b2CC8a94,40, 0
0x777a083B510023f37417209B8F9D8E23fD4A3ba3,2, 0
0x1B66c6c91b7CF8015A354b01D6411a87161c1215,2, 0
0xf17fad1fC969136311150d06791E6Ce891E25277,6, 0
0x837Ea8C791379BD69a1a85C5Db08c9cac233aC6B,18, 0
0x27F1Ca84C17150af7FACE5054a6A2670A75ed060,4, 0
0x57a20209A18185F982F5f883502d8EB499900303,5, 0
0xa9D46DB44B21B34f8Dbc0fc6d8C4CBDa01E1Fc2A,10, 0
0xC61618aF68eB5F870c05eF8a371DEbB4bEDEA3BD,9, 0
0x46Ffbe229d5971585584DB39CCA44916861c74C9,5, 0
0xB8C53FDB2ED1Ef8a7107918bD4B22Ee1e07e3841,30, 29385000000000000000000
0x0312Ef4AeAa8ab8AbaDAdFfF2e136f442a147Fce,1, 0
0xdC2a26dA62eC880a137BD336315464bc78C2698A,3, 0
0x97240Ea608fb88f152519bB45E6c7c8a0E5c33a2,9, 0
0x0cAC63F1218ac8e96fE838bfF92017FF3844B53A,40, 0
0x895F25a04C7C4F0Ce96BDE5a83dBFBa13982c09c,10, 0
0x181d3fD7D94e9E688373770836AF85c3fD16e360,42, 0
0x674118D0F2c5f09d96Ad9638857E28E23cEF24dA,3, 0
0xDC9648bbD4Fc4478FeB7a81da25B516E285e5f6a,1, 0
0x3E1dc89ab1E3BB8A64bB0f65b65b404f1BF708c3,29, 0
0x98B2690c6A98669B53f99Ad80C0eEd08a641707C,3, 5001000000000000000000
0x847A643AD8d71569329E8B133a68291696D9ac4B,24, 0
0x13d75E3efA4788b9786a66CcDd54bBDbfc6FB690,17, 0
0xfd3f412fc20b7ED21740786F097322b679331779,50, 0
0x96Fb567ef48bFFDD95167821aC442bB95eD72006,69, 60500000000000000000000
0x958DF15C3E7Ea43F3635097e6279bD8d20cb80aA,25, 0
0x7E661ac52e2578d56EEEC231016c7B4DC0A73B75,3, 0
0xb50315aff86466D19e6f8582B1D5CEe5595a1ba8,10, 0
0x8275d0c0E22869ced1d1c52CC35a9DE871a164F6,29, 0
0x4E02A3818bf2B5fA36809C74270A93131F87E432,7, 0
0x3aC8887C1F35875791c56c34fBB327D3361Fee47,47, 0
0xD68df40E91ebF4819Ff4Fc1BF56758b18Ea34433,1, 0
0x5f69726618599dA88EDC60DC2873B1c73Af69AE3,911, 0
0xEFFa0B6B2Ed1A91c14c281F23eAbc4e2d7Ff6FCf,39, 0
0x176FfF8b046f5B89EA328e3A6a79D6fe88905A0e,1, 500000000000000000000
0x54B4E4A37808B8d71A07F494eC20CfaB80e2827d,1, 10000000000000000000000
0xC048226670753063491bA4cF9bfFA4E23585DFdf,1000, 0
0xaC114511B5fBaA565DBAA3d7cAe85b4750392365,1, 0
0x240ee1628F457861f7ba72e0Ef0743940c8aa021,120, 0
0x62d35aF3365F76B883bC54d05Ac1fDB6B5f6D694,1, 0
0xaffA61971bB4A981676fd01516321824956678A8,3, 0
0x17d242D61E2A78223d1C0D34B9ABad60D64C6BF1,297, 0
0x98b267c74728e49fD14bdEEdd7e08F6c610Be38A,543, 0
0xFad2283Ec9698516DEcF57Ff47AE79761F9843E9,30, 0
0xB58Bf2D5ffb52c1fAd60f6750B639156AB249F53,1, 0
0xd51D49A1a67AB4ED75825D1F8a99b1c794e4A164,30, 50000000000000000000000
0xE65ef515aDc3fd724C326aDF8212B4284FD10137,1, 0
0x456DA0a1CBA79C3Cb64E4A9F3Ffc5d1a09290e1e,185, 0
0xdE5970D9fD25C2812ebc2cF3Ac0db81F29a52027,4, 0
0xa91A73C911935e93A977B9FDE9F29DAB81fb6BC8,9, 0
0x9a0B985f9e1E6EdD40715BB0d38155F3102Aeb0E,14, 0
0x6609eC70BF04f20DDd720470B2fEDA600427fC3A,2, 0
0x1FD7c4CFAe6d6D6301aE324EbCe61fB3bC92801B,3, 0
0xeC5dA4D9a79a9c01f9F482D84570B548E38A2F44,2, 0
0x7BbEbF51d8d0880A1f4188C95D9A3bab8dD891a6,5, 0
0x7c0C4a619CA51940f5Cb4620077BFa146792c49D,5, 0
0x28D4FBD1dA8Ca64cE2d11F0C2A23b1a30Ee72c7B,10, 0
0x783d21e4534521052cB96a772619BCaA1CDC6E3f,11, 0
0x9a3e41D870E8F3B5cdBaa6167DefE6926a99F29E,1518, 0
0x33b5A04E0D79E7847F56b28Bba20e8Da77a06B66,13, 0
0xd06b955733a5666F0Ff82eAd9501Ab3253560181,2, 0
0xFB0f5755DC920416b486752423c572451af72AEd,1, 0
0x161619839EBbADa5d3C279E1A79C50F7fc4274D6,1061, 0
0xD1Ec6dA0a5D811Bc710F6d9fA5F138Ed65c00d7A,4, 0
0xb0F026A67C66c931Ae55c1c00fa22c9e004037f0,5, 0
0xD054b925C87E6321D9EbC3c21f45fC0f8a8F4364,20, 0
0xC5476045c76d175fD15b6558B69a065a728e5F16,98, 0
0x8481d434856d603ECc968B841c0cf8fB120a3361,2, 0
0x486dc6ee117557Acf8Ca222A83343983Bdc005F1,100, 0
0x20B9e6467956CCc5Fc087Ad7b7530a3E4800f6B0,70, 0
0x377726c5931BF009EB5Bf1bfa3ab980785c67AFA,80, 0
0x12E6388e6a861Ba54aC60FBFfF4F0Ed3921FeE8D,1, 0
0x4f4d74826c910e4621C465f09bD4373C6cD3d5fC,135, 0
