address,staking,amount
0x0f7bF2e6BEbf3d352405B0f855d4B6fC6Fe50b3F,500000000000000000000,4
0x944C6C8882012CcD4FFd2911a7F1fDC520c9a561,0,2
0xCEA525eE12e751379e3B0e8fE4a737E8A8d15622,0,3
